Ramal,Id Origen,Origen,Id Destino,Destino,Pax,lon_origen,lat_origen,lon_destino,lat_destino,dist_retiro
Retiro - Tigre,10,San Isidro,50,Victoria,3828,"-58,5138","-34,4714","-58,5408","-34,4566","19,549"
Retiro - Tigre,10,San Isidro,51,Virreyes,46169,"-58,5138","-34,4714","-58,5506","-34,4507","19,549"
Retiro - Tigre,10,San Isidro,52,San Fernando,58509,"-58,5138","-34,4714","-58,5592","-34,4439","19,549"
Retiro - Tigre,10,San Isidro,53,Carupa,50897,"-58,5138","-34,4714","-58,5671","-34,4377","19,549"
Retiro - Tigre,10,San Isidro,54,Tigre,120739,"-58,5138","-34,4714","-58,5819","-34,4235","19,549"
Retiro - Tigre,11,Beccar,38,Retiro (Tigre),200110,"-58,5261","-34,4612","-58,3752","-34,5913","21,239"
Retiro - Tigre,11,Beccar,39,L. de la Torre,13115,"-58,5261","-34,4612","-58,4367","-34,5625","21,239"
Retiro - Tigre,11,Beccar,40,Belgrano C,108338,"-58,5261","-34,4612","-58,4495","-34,5584","21,239"
Retiro - Tigre,11,Beccar,41,Nuñez,10873,"-58,5261","-34,4612","-58,4624","-34,5489","21,239"
Retiro - Tigre,11,Beccar,42,Rivadavia,9552,"-58,5261","-34,4612","-58,4683","-34,5362","21,239"
Retiro - Tigre,11,Beccar,43,Vicente Lopez,7037,"-58,5261","-34,4612","-58,4728","-34,5242","21,239"
Retiro - Tigre,11,Beccar,44,Olivos,6618,"-58,5261","-34,4612","-58,4801","-34,5082","21,239"
Retiro - Tigre,11,Beccar,45,La Lucila,3777,"-58,5261","-34,4612","-58,4887","-34,4972","21,239"
Retiro - Tigre,11,Beccar,46,Martinez,16562,"-58,5261","-34,4612","-58,4970","-34,4877","21,239"
Retiro - Tigre,11,Beccar,47,Acassuso,4351,"-58,5261","-34,4612","-58,5038","-34,4797","21,239"
Retiro - Tigre,11,Beccar,48,San Isidro,38938,"-58,5261","-34,4612","-58,5138","-34,4714","21,239"
Retiro - Tigre,11,Beccar,49,Beccar,874,"-58,5261","-34,4612","-58,5261","-34,4612","21,239"
Retiro - Tigre,11,Beccar,50,Victoria,3565,"-58,5261","-34,4612","-58,5408","-34,4566","21,239"
Retiro - Tigre,11,Beccar,51,Virreyes,2539,"-58,5261","-34,4612","-58,5506","-34,4507","21,239"
Retiro - Tigre,11,Beccar,52,San Fernando,4201,"-58,5261","-34,4612","-58,5592","-34,4439","21,239"
Retiro - Tigre,11,Beccar,53,Carupa,2909,"-58,5261","-34,4612","-58,5671","-34,4377","21,239"
Retiro - Tigre,11,Beccar,54,Tigre,26628,"-58,5261","-34,4612","-58,5819","-34,4235","21,239"
Retiro - Tigre,12,Victoria,38,Retiro (Tigre),124327,"-58,5408","-34,4566","-58,3752","-34,5913","22,716"
Retiro - Tigre,12,Victoria,39,L. de la Torre,11300,"-58,5408","-34,4566","-58,4367","-34,5625","22,716"
Retiro - Tigre,12,Victoria,40,Belgrano C,91073,"-58,5408","-34,4566","-58,4495","-34,5584","22,716"
Retiro - Tigre,12,Victoria,41,Nuñez,12057,"-58,5408","-34,4566","-58,4624","-34,5489","22,716"
Retiro - Tigre,12,Victoria,42,Rivadavia,10546,"-58,5408","-34,4566","-58,4683","-34,5362","22,716"
Retiro - Tigre,12,Victoria,43,Vicente Lopez,8664,"-58,5408","-34,4566","-58,4728","-34,5242","22,716"
Retiro - Tigre,12,Victoria,44,Olivos,9539,"-58,5408","-34,4566","-58,4801","-34,5082","22,716"
Retiro - Tigre,12,Victoria,45,La Lucila,6534,"-58,5408","-34,4566","-58,4887","-34,4972","22,716"
Retiro - Tigre,12,Victoria,46,Martinez,25036,"-58,5408","-34,4566","-58,4970","-34,4877","22,716"
Retiro - Tigre,12,Victoria,47,Acassuso,9829,"-58,5408","-34,4566","-58,5038","-34,4797","22,716"
Retiro - Tigre,12,Victoria,48,San Isidro,57777,"-58,5408","-34,4566","-58,5138","-34,4714","22,716"
Retiro - Tigre,12,Victoria,49,Beccar,8362,"-58,5408","-34,4566","-58,5261","-34,4612","22,716"
Retiro - Tigre,12,Victoria,50,Victoria,1744,"-58,5408","-34,4566","-58,5408","-34,4566","22,716"
Retiro - Tigre,12,Victoria,51,Virreyes,8267,"-58,5408","-34,4566","-58,5506","-34,4507","22,716"
Retiro - Tigre,12,Victoria,52,San Fernando,12402,"-58,5408","-34,4566","-58,5592","-34,4439","22,716"
Retiro - Tigre,12,Victoria,53,Carupa,10947,"-58,5408","-34,4566","-58,5671","-34,4377","22,716"
Retiro - Tigre,12,Victoria,54,Tigre,29459,"-58,5408","-34,4566","-58,5819","-34,4235","22,716"
Retiro - Tigre,13,Virreyes,38,Retiro (Tigre),190383,"-58,5506","-34,4507","-58,3752","-34,5913","23,800"
Retiro - Tigre,13,Virreyes,39,L. de la Torre,16890,"-58,5506","-34,4507","-58,4367","-34,5625","23,800"
Retiro - Tigre,13,Virreyes,40,Belgrano C,146661,"-58,5506","-34,4507","-58,4495","-34,5584","23,800"
Retiro - Tigre,13,Virreyes,41,Nuñez,15257,"-58,5506","-34,4507","-58,4624","-34,5489","23,800"
Retiro - Tigre,13,Virreyes,42,Rivadavia,14676,"-58,5506","-34,4507","-58,4683","-34,5362","23,800"
Retiro - Tigre,13,Virreyes,43,Vicente Lopez,20875,"-58,5506","-34,4507","-58,4728","-34,5242","23,800"
Retiro - Tigre,13,Virreyes,44,Olivos,30612,"-58,5506","-34,4507","-58,4801","-34,5082","23,800"
